OBJECTID,LONGITUDE,LATITUDE,SLIDE_NO,DEPTH,GEOLOGY,STRUCTURE,ABSTRACT,CITATION,LENGTH,WIDTH,HEIGHT,LS_AREA,TRIGGERING,REMARKS,LS_VOLUME,ALERT,STATE,DISTRICT,TOPOSHEET,SLIDE_NAME,ACTIVITY,STYLE,INITIATION,PHOTOS,REPORT,IMAGE_LAND,REPORT_LAN,NH_SH_LOCA,RUNOUT_DIS,MATERIAL_T,MOVEMENT_T,MOVEMENT_R,DISTRIBUTI,FAILURE_ME,REACTIVATI,REACTIVA_1,REACTIVA_2,GEOMORPHOL,HYDROLOGIC,LANDUSE_LA,PERSONS_DE,PEOPLE_AFF,LIVESTOCK_,COMMUNICAT,LANDUSE_AF,PRE_REMEDI,INFRASTRUC,GEOSCIENTI,Year,Location,Coordinate,layer,path
5836,75.94222200,11.68500000,KRL/WAY/54M14/2015/153,0.00000000,Hornblende-biotite gneiss,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",0.00000000,0.00000000,0.00000000,0.00000000,Rainfall,,0.00000000,,Kerala,Wayanad,49M14,Himagiri estate,Active,Single,2006,,,,,Padinjarethara-Pulinjal Road,0.00000000,Earth,Subsidence,Moderate,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Moderate vegetation,,,,,,Retaining wall,,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25805,75.94311100,11.69177800,KL/WYD/49M14/2018/4,3.00000000,Charnockite,,,,135.00000000,6.00000000,70.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,49M14,Chiriyanaripara,Active,Single,0,,,"0",,Padinjarathara-Pulinjal Forest Rd,125.00000000,Debris,Flow,Very rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Forest/Coffee plantation,,,,road completely washed out,Forest,Drainage has to be channelised. Box culvert with suitable dimension should be provided at road bench level,,"pore water pressure,gully erosion","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
5654,75.94361100,11.68277800,KRL/WAY/54M14/2015/150,2.00000000,Charnockite,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",100.00000000,10.00000000,30.00000000,1000.00000000,Rainfall,,2000.00000000,,Kerala,Wayanad,49M14,Narrikal,Active,Single,2007,,,,,Padinjarethara-Pulinjal Road,0.00000000,Rock cum Debris,Flow,Rapid,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Thick vegetation,,,,,,,One House,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
6990,75.94361100,11.68305600,KRL/KOZ/54M14/2015/216,0.00000000,Charnockite,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",0.00000000,0.00000000,0.00000000,0.00000000,Rainfall,,0.00000000,,Kerala,Kozhikode,49M14,Padinjarethara forest,Active,Single,2007,,,,,Padinjarethara-Pulinjal Road,0.00000000,Debris,Flow,Rapid,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Thick vegetation,,,,,,,,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
5655,75.94472200,11.68861100,KRL/WAY/54M14/2015/151,0.00000000,Charnockite,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",0.00000000,0.00000000,0.00000000,0.00000000,Rainfall,,0.00000000,,Kerala,Wayanad,49M14,Varampatta,Dormant,Single,2011,,,,,Padinjarethara-Pulinjal Road,0.00000000,Rock,Fall,Rapid,Confined,,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Moderate vegetation,,,,,,Retaining wall,,,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
5839,75.96777800,11.66861100,KRL/WAY/54M14/2015/156,0.00000000,Hornblende-biotite gneiss,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",0.00000000,0.00000000,0.00000000,0.00000000,Rainfall,,0.00000000,,Kerala,Wayanad,49M14,Kottalakunnu,Active,Single,2004,,,,,Padinjarethara-Pulinjal Road,0.00000000,Debris,Flow,Rapid,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Thick vegetation,,,,,,,,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
5837,75.96777800,11.67388900,KRL/KOZ/54M14/2015/154,0.00000000,Charnockite,,,"Sulal NL  et al., 2016. Marcoscale Landslide Susceptibility Map for mountainous/hilly region on GIS platform for toposheets nos 49M/14 and 53A/3, Kozikode, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS 2014-16.",0.00000000,0.00000000,0.00000000,0.00000000,Rainfall,,0.00000000,,Kerala,Kozhikode,49M14,Putiyanirathu,Active,Single,2006,,,,,SH54,0.00000000,Earth,Subsidence,Moderate,Confined,Shallow translational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Wet,Moderate vegetation,,,,,,Retaining wall,,Porewater pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25391,75.96925000,11.66852800,KL/WYD/49M14/2018/9,1.00000000,Hornblende-biotite gneiss,,,,10.00000000,25.00000000,8.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,49M14,Naimoola,Active,Multiple,0,,,"0",,Vythiri-Tharuvana road,6.00000000,Rock cum debris,Slide,Very rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Pediplain,Dry,Low Height Plantation,,,,Road blocked,Coffee plantation,Entire slide stretch has to be protected with RC wall /masonry wall with weep holes. Cut slope  may be modified with easing of slope.,,"pore water pressure, reduction of strength on super-saturation, unplanned cutting of slope","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
26067,76.00770000,11.60660000,KL/WYD/58A2/2018/04,2.00000000,Schistose rock,,"An earth slide was occurred on 14th  June 2018 at Achoor, Vythiri resulted in the death of one person and damage to house. The important causes include (a) Unscientific slope modification and unprotected vertical cut slope made for house construction and",,20.00000000,45.00000000,15.00000000,900.00000000,Heavy rainfall,The houses at this location are built with vertical cut without any retaining wall. Weathered rock patch is also observed along the slide zone,1350.00000000,II,Kerala,Wayanad,58A02,Achoor (6th mile) Landslide,Active,Single,0,,,"0",,Vythiri ?Co Padinjarathara road,0.00000000,Soil,Slide,Very rapid,Retrogressive,Shallow rotational (?e? 5m) failure,0.00000000,0.00000000,0.00000000,Rolling plain,Dry,Mixed cultivation,1 No.,1 No.,,,Agricultural land,Easing  of  slope  with  benches.  The  vertical  cut  may  be protected with proper retaining wall with weep holes.,One house fully and one house partially damaged,Unscientific slope modification and unprotected vertical cut slope made for house construction. Incessant rainfall is the triggering factor which resulted in the reduction of strength on saturation and increase in pore water pressure.,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25804,76.00905600,11.56458300,KL/WYD/58A02/2018/19,4.00000000,Graphite-biotite schist,,,,90.00000000,25.00000000,50.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,58A02,kalloor,Active,Multiple,0,,,"0",,Sugandhagiri Kalloor Rd,60.00000000,Debris,Slide,Rapid,Retrogressive,Shallow rotational failure,0.00000000,0.00000000,0.00000000,Colluvial footslope,dripping,Low Height Plantation,,"5",,Road blocked,Agriculture/Forest,The stream has to be channelized. Gabion/ RC wall should be provided for toe support. Precarious boulders has to be removed and the slope should be modified..,one house washed out . One auto and bike damaged,Unplanned slope cut and heavy rainfall triggered the slide. Due to heavy downpour the pore water pressure increased and blocked nala got activated.,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25388,76.01502800,11.59783300,KL/WYD/58A02/2018/91,1.50000000,Hornblende-biotite gneiss,,,,7.00000000,100.00000000,6.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,58A02,Achoor,Active,Multiple,0,,,"0",,Vythiri-Tharuvana road,8.00000000,Rock cum debris,Slide,Very rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Pediplain,Dry,Tea plantation +Road cut,,,,Road blocked,Tea plantation,Toe has to be provided with Retaining wall / masonry wall with weep/drain holes with back filling. Forming of benches for slope.Drainage line must be channelized.,,"pore water pressure, reduction of strength on super-saturation, unplanned cutting of slope","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25496,76.01805500,11.58583000,KL/WYD/58A02/2018/74,2.00000000,Charnockite,,,,9.00000000,25.00000000,8.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,58A02,Pozhuthana 1,Active,Multiple,0,,,"0",,Vythiri-Tharuvana road,6.00000000,Rock cum debris,Slide,Very rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Colluvial footslope,Dry,Low Height Plantation,,,,Road blocked,Forest,Slide stretch of road has to be provided with Retaining wall/masonry wall with weep holes. Slope easing/modification is needed with forming benches.,,"pore water pressure, reduction of strength on super-saturation, unplanned cutting of slope","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
6848,76.01825800,11.58872800,KRL/WAY/58A02/2015/50,0.50000000,Charnockite,,,"Trideep  et al., 2016. Marcoscale Landslide Susceptibility Mapping of Mananthavady-Kalpetta-Sultan Battery-Vazhikkadavu area in parts of toposheets nos 58A/1, A/2, A/5, A/6, A/7 and A/11, Wayanad and Malappuram districts, Kerala. Unpub. GSI Report of FS",3.00000000,2.50000000,13.00000000,7.50000000,Rainfall,,3.75000000,,Kerala,Wayanad,58A02,,Stabilized,Single,0,,,,,Vythiri - Tharuvana Road,5.00000000,Debris,Slide,Moderate,Retrogressive,Shallow translational failure,0.00000000,0.00000000,0.00000000,Rolling plain,Wet,Moderate vegetation,,,,,,,,Pore water pressure,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25497,76.01916600,11.56944400,KL/WYD/58A02/2018/75,1.00000000,Charnockite,,,,10.00000000,12.00000000,9.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,58A02,Pozhuthana 2,Active,Single,0,,,"0",,Vythiri-Tharuvana road,8.00000000,Rock cum debris,Slide,Very rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Dry,Low Height Plantation,,,,Road blocked,Coffee plantation,Toe has to be protected with random rubble wall /gabion wall with easing of slope.,,"pore water pressure, reduction of strength on super-saturation, unplanned cutting of slope","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25518,76.01972200,11.56861100,KL/WYD/58A02/2018/76,2.00000000,Charnockite,,,,10.00000000,50.00000000,9.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,58A02,Pozhuthana 3,Active,Multiple,0,,,"0",,Vythiri-Tharuvana road,10.00000000,Rock cum debris,Slide,Very rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Dry,Low Height Plantation,,,,Road blocked,Coffee plantation,Retaining wall / masonry wall with weep/drain holes has to be provided for vulnerable stretch as settlement is located just above the crown.Slope may be modified with easing of slope with forming benches.,,"pore water pressure, reduction of strength on super-saturation, unplanned cutting of slope","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25519,76.02833300,11.56777700,KL/WYD/58A02/2018/77,3.00000000,Charnockite,,,,17.00000000,35.00000000,14.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,58A02,12th bridge,Active,Multiple,0,,,"0",,Vythiri-Tharuvana road,10.00000000,Rock cum debris,Slide,Very rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Dry,Low Height Plantation,,,,Road blocked,Coffee plantation,Toe has to be protected with random rubble wall /gabion wall with easing of slope is recommended.,,"pore water pressure, reduction of strength on super-saturation, unplanned cutting of slope","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25355,76.02827300,11.59652800,KL/WYD/58A02/2018/95,4.00000000,Hornblende-biotite gneiss,,,,17.00000000,40.00000000,10.00000000,0.00000000,Rainfall in mm,Lateritic soil cover,0.00000000,,Kerala,Wayanad,58A02,Chenamala 3,Active,Multiple,0,,,"0",,Anoth local road,10.00000000,Debris,Slide,Extremely rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Pediplain,Dripping,Low Height Plantation,,,,Road completely collapsed/damaged,Coffee + mixed plantation,It is suggested to provide RR wall/gabion at toe with weep holes for entire vulnerable stretch to avoid retrogression of the slide. Slope has to be modified to form benches. Sewage/drainage water at road side/toe portion has to be channelized.,,"pore water pressure, reduction of strength on super-saturation, unplanned cutting of slope","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25356,76.02786100,11.62777800,KL/WYD/58A02/2018/96,2.00000000,Charnockite,,,,17.00000000,20.00000000,12.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,58A02,Thekumthara,Active,Multiple,0,,,"0",,Pinangode-Thekumthara local road,10.00000000,Soil,Slide,Very rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Pediplain,Dry,Low Height Plantation,,,,Road blocked,Coffee + mixed plantation,Toe has to be protected with random rubble wall /gabion wall with easing of slope is recommended. Trees inside the slide has to be uprooted.,,"pore water pressure, reduction of strength on super-saturation, unplanned cutting of slope","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25495,76.03111000,11.56611100,KL/WYD/58A02/2018/73,2.00000000,Charnockite,,,,9.00000000,40.00000000,8.00000000,0.00000000,Rainfall in mm,,0.00000000,,Kerala,Wayanad,58A02,Vythiri Pozhuthana Rd,Active,Multiple,0,,,"0",,Vythiri Pozhuthana Rd,7.00000000,Rock cum debris,Slide,Very rapid,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Dry,Settlement above the road,,,,Road blocked,Settlement,Slide toe must be provided with Retaining wall/masonry wall with weep holes. Slope easing/modification is needed with forming benches.,house located above the crown,"pore water pressure, reduction of strength on super-saturation, unplanned cutting of slope","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25357,76.03088900,11.64625000,KL/WYD/58A02/2018/97,5.00000000,Granite gneiss,,,,30.00000000,140.00000000,12.00000000,0.00000000,Rainfall in mm,Detail study needed.,0.00000000,,Kerala,Wayanad,58A02,Korattapadi,Active,Multiple,0,,,"0",,Thekumthara-Korattapadi local road,15.00000000,Soil,Creep,Moderate,Retrogressive,Shallow planar failure,0.00000000,0.00000000,0.00000000,Pediplain,Wet,Settlement + mixed plantation,,,,Road susidence/creeping at 1m depth half road subsided,Agriculture,Temporary measures may be provided immediately eg. road subsidence stretch has to be provided with retaining structure with weep holes at below road level. Toe portion has to be provided with suitable support structures. Drainage has to be channelized. D,,"pore water pressure, reduction of strength on super-saturation, unplanned construction","2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
25691,76.03427800,11.58477800,KL/WYD/58A02/2018/2,5.00000000,Charnockite,,,,165.00000000,35.00000000,60.00000000,0.00000000,Rainfall in mm,Overburden thickness is >5 above the slip face.,0.00000000,,Kerala,Wayanad,58A02,Ammara anganvadi,Active,Single,0,,,"0",,Chundale-Anoth Road,0.00000000,Debris,Slide,Rapid,Retrogressive,Shallow rotational failure,0.00000000,0.00000000,0.00000000,Lowly dissected hill,Dripping,Plantation,,,,Road blocked and damaged,,Drainage has to be channelized. Slope should be modified with berm or benches. Retaining wall with weep holes should be provided above the free face. Precarious boulders should be removed from the slope and the trees should be uprooted inside the slided,,Gully erosion along the nala and increase in pore water pressure reactivated palaeoslide due to heavy rainfall.,"2018",,,Points2018andBefore,C:\Users\swati\Desktop\Wayanad Exports\New folder\Points2018andBefore\Points2018andBefore.shp
